section,text,translation,translit
General,Дие гӏемер гӏарац кьола дица гьабулеб жоялъухъ.,"I get paid a lot to do what I do.""",
General,Томида квекийилан гьаризе бегьулищ?,"Is it OK if I ask Tom to help me?""",
General,Анлӏгоялда вахъиналъул правила ккун чӏун вуго дун.,"I make it a rule to get up at six.""",
General,Машина бачине цӀакъ кепаб жо буго.,"It is a lot of fun to drive a car.""",
General,Дица гьабизе кколеб хӀалтӀи гӀемераб буго.,"I have a lot of work I have to do.""",
General,"Къаникье инчӀого вукӀине, дица кӀвараб хӀалалъ дагь гьабула.""","I do as little as I can to get by.""",
General,Дие гьеб бокьун буго щвезе кӏварабго.,"I want it as soon as I can get it.""",
General,Дун свакана гин дие кьижизе ине бокьун буго.,"I am tired and I want to go to bed.""",
General,Дие дудаса цохӏо къваригӀараб жо буго — нижгун кӏалъазе.,"All I want you to do is talk to us.""",
General,Дие бокьун буго кӀварабгӀан лъикӀ дирго хӀалтӀи гьабизе.,"I want to do my job the best I can.""",
General,Дие бокьун буго дуе дун вугев къагӏидаялъ вокьизе.,"I want you to love me for who I am.""",
General,Дун гьитӀинав вукӀараб мехалъ дица фермаялда гӀумру гьабулаан.,"I lived on a farm when I was a kid.""",
General,Дие дагьалъ дунго вукӀине къваригӀун буго.,"I need to be on my own for a while.""",
General,Дица гьеб кӀварабгӀан хехго гьабизе хӀаракат бахъила.,"I’ll try to do it as fast as I can.""",
General,Том доб мехалъ гӀадин нечерав гьечӀо.,"Tom is not as shy as he used to be.""",
General,Дие къваригӀун буго гӀемераб магъакь-кIачар нахъерехизе.,"I need to get rid of a lot of junk.""",
General,"Дуца дие рес кьуни, дида кӀола гьеб гьабизе.""","I can do it if you give me a chance.""",
General,"Хьул буго, дица дуе пайда гьабилилан.""","I hope I can be of some help to you.""",
General,"ГӀурав мехалъ, дие пилотлъун лӀугьине бокьун буго.""","I want to be a pilot when I grow up.""",
General,Дуе бокьун бугищ дунгун сапаралде ине?,"Do you want to go on a trip with me?""",
General,Гьоялда гьвел кӀалцӀи дица кин кваназабилеб?,"How do I get my dog to eat dog food?""",
General,Дун гьелда балагьизейищ бокьун бугеб?,"Do you want me to take a look at it?""",
General,Дие бокьун буго букӀахъе кинабго тӏадбуссинабизе.,"I want to go back to the way it was.""",
General,Дие Томие кӀвараб хӀалалъ квекизе бокьун буго.,"I want to help Tom as much as I can.""",
General,"Дие бокьилаан, дуца гьеб кин гьабулебали дида бицине.""","I wish you had told me how to do it.""",
General,Дие дуе гӀадин цӀакъ бокьун буго рокъове ине.,"I want to go home as much as you do.""",
General,Томица дида абуна дун гьесие вас гӀадин вугилан.,"Tom told me I was like a son to him.""",
General,Дие къваригӀун буго дуца бицине кин гьаб хӀалтӀизабулибали.,"I need you to tell me how to use it.""",
General,Дир гӏемер счетал руго гӏарац кьезе кколел.,"I have a lot of bills I have to pay.""",
General,Дица кӀвараб жо гьабила гьеб битӀизабизе.,"I’ll do all I can to make up for it.""",
